MW,Sv,Se,Sp,Si,nAT,nBT,nBM,nDB,nAB,nHM,nHet,totalcharge,nCIR,MCD,NRS,NNRS,D/Dtr05,D/Dtr06,Ges,Hy,NAME,Type
131.15,10.273,18.618,10.415,20.787,18,18,1,1,0,0,4,0,1,0.556,1,1,22.967,0,9,1.936,2825,fda
131.16,10.074,18.611,10.21,21.159,18,17,2,2,0,0,5,0,0,0,0,0,0,0,9,3.138,2810,fda
131.2,11.612,22.058,12.483,25.408,22,21,1,1,0,0,3,0,0,0,0,0,0,0,9,1.83,2719,fda
131.2,11.612,22.058,12.483,25.408,22,21,1,1,0,0,3,0,0,0,0,0,0,0,8,1.83,2720,fda
131.2,11.612,22.058,12.483,25.408,22,21,1,1,0,0,3,0,0,0,0,0,0,0,9,1.83,2858,fda
132.13,9.966,17.844,9.864,19.498,17,16,2,2,0,0,4,0,0,0,0,0,0,0,5,0.949,2460,fda
132.14,9.768,17.836,9.659,19.87,17,16,2,2,0,0,5,0,0,0,0,0,0,0,9,3.138,2779,fda
132.14,9.768,17.836,9.659,19.87,17,16,2,2,0,0,5,0,0,0,0,0,0,0,9,4.32,2809,fda
132.17,11.822,17.862,12.5,19.87,18,18,8,2,6,0,1,0,1,0.6,1,1,0,31.497,8,-0.864,998,fda
132.17,11.822,17.862,12.5,19.87,18,19,7,1,6,0,1,0,3,0.9,1,0.5,14.972,18.345,10,-0.864,2330,fda
132.19,11.106,21.276,11.727,24.491,21,20,1,1,0,0,4,0,0,0,0,0,0,0,9,4.214,2882,fda
133.12,9.461,17.062,9.108,18.581,16,15,2,2,0,0,5,0,0,0,0,0,0,0,9,3.138,2815,fda
133.19,9.219,15.484,9.847,17.083,15,15,1,1,0,1,4,0,1,0.625,1,1,19.667,0,8,1.083,2787,fda
134.1,9.154,16.287,8.557,17.293,15,14,2,2,0,0,5,0,0,0,0,0,0,0,9,2.042,2303,fda
134.15,10.493,19.727,10.625,21.914,19,18,1,1,0,0,4,0,0,0,0,0,0,0,9,1.936,2455,fda
135.15,10.107,15.509,10.029,17.491,15,16,10,0,10,0,5,0,3,0.9,1,0.5,14.765,18.569,10,1.882,2448,fda
135.18,11.843,18.964,12.506,21.368,19,19,7,1,6,0,2,0,1,0.6,1,1,0,31.314,8,0.647,2523,fda
136.13,9.8,14.735,9.477,16.203,14,15,4,4,0,0,5,0,3,0.9,1,0.5,14.765,18.569,10,0.935,239,fda
136.13,9.8,14.735,9.477,16.203,14,15,7,2,5,0,5,0,3,0.9,1,0.5,14.765,18.569,10,0.935,2930,fda
136.16,11.537,18.189,11.955,20.08,18,18,7,1,6,0,2,0,1,0.6,1,1,0,30.514,8,-0.768,1699,fda
136.16,11.537,18.189,11.955,20.08,18,18,7,1,6,0,2,0,1,0.6,1,1,0,30.514,9,-0.161,2125,fda
136.22,12.677,21.622,13.818,25.073,22,22,6,0,6,0,2,0,1,0.6,1,1,0,29.867,3,-0.768,1067,fda
136.22,12.677,21.622,13.818,25.073,22,22,6,0,6,0,2,0,1,0.6,1,1,0,31.497,10,-0.161,1942,fda
136.26,14.214,25.069,16.091,29.322,26,27,1,1,0,0,0,0,3,0.7,1,0.5,0,48.876,9,-0.96,1936,fda
136.26,14.214,25.069,16.091,29.322,26,26,2,2,0,0,0,0,1,0.6,1,1,0,30.514,10,-0.96,2103,fda
136.26,14.214,25.069,16.091,29.322,26,27,1,1,0,0,0,0,3,0.7,1,0.5,0,48.876,9,-0.96,2141,fda
137.15,11.031,17.407,11.199,19.163,17,17,7,1,6,0,3,0,1,0.6,1,1,0,30.514,8,1.69,1375,fda
137.15,11.031,17.407,11.199,19.163,17,17,7,1,6,0,3,0,1,0.6,1,1,0,31.076,10,-0.672,2129,fda
137.15,11.031,17.407,11.199,19.163,17,17,7,1,6,0,3,0,1,0.6,1,1,0,30.514,10,1.69,2156,fda
137.15,11.031,17.407,11.199,19.163,17,17,7,1,6,0,3,0,1,0.6,1,1,0,30.514,6,-0.672,2432,fda
137.16,10.833,17.4,10.994,19.535,17,17,7,1,6,0,4,0,1,0.6,1,1,0,31.076,8,1.786,417,fda
137.16,10.833,17.4,10.994,19.535,17,17,7,1,6,0,4,0,1,0.6,1,1,0,30.514,10,2.838,2627,fda
137.2,12.37,20.847,13.267,23.784,21,21,6,0,6,0,2,0,1,0.6,1,1,0,30.752,8,1.594,915,fda
138.13,10.725,16.633,10.648,17.874,16,16,7,1,6,0,3,0,1,0.6,1,1,0,30.514,8,0.743,993,fda
138.13,10.725,16.633,10.648,17.874,16,16,7,1,6,0,3,0,1,0.6,1,1,0,30.514,10,0.743,1396,fda
138.13,10.725,16.633,10.648,17.874,16,16,7,1,6,0,3,0,1,0.6,1,1,0,30.514,10,0.743,2473,fda
138.18,12.064,20.073,12.716,22.495,20,20,6,0,6,0,2,0,1,0.6,1,1,0,30.752,8,0.647,1002,fda
138.2,11.666,20.058,12.307,23.239,20,21,5,0,5,0,4,0,3,1,1,0.5,14.137,0,10,-0.576,1427,fda
139.17,11.558,19.291,11.96,21.578,19,19,3,3,0,0,3,0,1,0.6,1,1,0,29.867,9,-0.065,2981,fda
139.2,9.46,17.695,10.063,19.707,17,16,2,2,0,1,5,0,0,0,0,0,0,0,7,2.237,2792,fda
139.65,11.251,21.938,12.648,25.558,22,20,0,0,0,1,3,0,0,0,0,0,0,0,5,0.079,1215,fda
140.15,11.252,18.516,11.409,20.289,18,18,3,3,0,0,3,0,1,0.6,1,1,0,30.19,10,-0.065,2148,fda
141.15,10.547,17.727,10.449,19.744,17,17,7,2,5,0,5,0,1,0.5,1,1,26.267,0,9,-0.48,1907,fda
141.19,12.085,21.174,12.722,23.993,21,21,2,2,0,0,3,0,1,0.5,1,1,25.967,0,10,-0.065,1454,fda
141.24,13.424,24.614,14.79,28.614,25,25,1,1,0,0,2,0,1,0.5,1,1,26.776,0,10,-0.768,1493,fda
141.24,13.424,24.614,14.79,28.614,25,26,0,0,0,0,2,0,3,0.8,1,0.5,16.902,21.036,7,-0.161,1624,fda
142.12,10.44,16.96,10.102,18.083,16,16,3,3,0,0,4,0,1,0.6,1,1,0,30.19,10,0.839,1730,fda
142.18,11.58,20.393,11.966,23.076,20,20,2,2,0,0,4,0,1,0.5,1,1,26.986,0,10,0.839,839,fda
142.2,9.998,15.375,10.636,16.956,15,15,3,3,0,1,4,0,1,0.667,1,1,0,26,9,0.949,865,fda
143.16,11.273,19.618,11.415,21.787,19,19,2,2,0,0,4,0,1,0.5,1,1,25.667,0,9,-0.576,1927,fda
143.26,13.951,26.498,15.551,31.029,27,26,1,1,0,0,2,0,0,0,0,0,0,0,7,0.647,1634,fda
143.952,8.74,6.76,30.562,7.02,7,4,1,1,0,3,7,0,0,0,0,0,0,0,3,0,2728,fda
144.111,12.128,14.567,23.222,15.913,15,14,7,1,6,1,3,0,1,0.6,1,1,0,26.648,6,-0.672,991,fda
144.14,10.966,18.844,10.864,20.498,18,17,3,3,0,0,4,0,0,0,0,0,0,0,5,-0.576,742,fda
144.18,12.822,18.862,13.5,20.87,19,20,11,0,11,0,1,0,3,0.909,1,0.5,0,40.529,11,-0.294,2097,fda
144.24,13.644,25.723,15,29.74,26,25,1,1,0,0,2,0,0,0,0,0,0,0,7,-0.161,1062,fda
144.24,13.644,25.723,15,29.74,26,25,1,1,0,0,2,0,0,0,0,0,0,0,10,-0.161,2145,fda
145.17,12.317,18.08,12.744,19.953,18,19,11,0,11,0,2,0,3,0.909,1,0.5,0,39.689,10,-0.206,1402,fda
145.55,9.332,13.847,9.295,14.691,13,13,3,3,0,1,4,0,1,0.667,1,1,0,26,9,0.949,477,fda
146.15,12.01,17.305,12.193,18.664,17,18,8,2,6,0,2,0,3,0.909,1,0.5,0,40.529,11,-0.79,1214,fda
146.16,11.493,20.727,11.625,22.914,20,21,0,0,0,0,4,0,3,0.8,1,0.5,31.995,0,5,0.839,1241,fda
146.16,11.493,20.727,11.625,22.914,20,19,2,2,0,0,4,0,0,0,0,0,0,0,5,0.839,2500,fda
146.17,11.294,20.72,11.421,23.286,20,19,2,2,0,0,5,0,0,0,0,0,0,0,10,4.068,2662,fda
146.17,11.294,20.72,11.421,23.286,20,19,2,2,0,0,5,0,0,0,0,0,0,0,10,4.068,2725,fda
146.21,13.15,20.738,14.057,23.657,21,22,7,1,6,0,2,0,2,1,2,1,25.553,30.787,11,-0.79,2462,fda
